2025-06-13 12:02:58, Zone=waist, Risk Level=1
2025-06-13 12:02:59, Zone=waist, Risk Level=1
2025-06-13 12:03:01, Zone=waist, Risk Level=1
2025-06-13 12:03:02, Zone=waist, Risk Level=1
2025-06-13 12:03:03, Zone=waist, Risk Level=1
2025-06-13 12:03:04, Zone=waist, Risk Level=1
2025-06-13 12:03:05, Zone=waist, Risk Level=1
2025-06-13 12:03:06, Zone=waist, Risk Level=1
2025-06-13 12:03:07, Zone=waist, Risk Level=1
2025-06-13 12:03:08, Zone=waist, Risk Level=1
2025-06-13 12:03:09, Zone=waist, Risk Level=1
2025-06-13 12:04:51, Zone=waist, Risk Level=1
2025-06-13 12:04:52, Zone=waist, Risk Level=1
2025-06-13 12:04:53, Zone=waist, Risk Level=1
2025-06-13 12:04:54, Zone=waist, Risk Level=1
2025-06-13 12:04:55, Zone=waist, Risk Level=1
2025-06-13 12:04:56, Zone=waist, Risk Level=1
2025-06-13 12:04:57, Zone=waist, Risk Level=1
2025-06-13 12:06:55, Zone=waist, Risk Level=1
2025-06-13 12:06:56, Zone=waist, Risk Level=1
2025-06-13 12:06:57, Zone=waist, Risk Level=1
2025-06-13 12:06:58, Zone=waist, Risk Level=1
2025-06-13 12:08:52, Zone=waist, Risk Level=1
2025-06-13 12:08:52, Zone=waist, Risk Level=1
2025-06-13 12:08:52, Zone=waist, Risk Level=1
2025-06-13 12:08:52, Zone=waist, Risk Level=1
2025-06-13 12:08:53, Zone=waist, Risk Level=1
2025-06-13 12:08:53, Zone=waist, Risk Level=1
2025-06-13 12:08:53, Zone=waist, Risk Level=1
2025-06-13 12:08:53, Zone=waist, Risk Level=1
2025-06-13 12:08:53, Zone=waist, Risk Level=1
2025-06-13 12:08:53, Zone=waist, Risk Level=1
2025-06-13 12:08:53, Zone=waist, Risk Level=1
2025-06-13 12:08:53, Zone=waist, Risk Level=1
2025-06-13 12:08:53, Zone=waist, Risk Level=1
2025-06-13 12:08:53, Zone=waist, Risk Level=1
2025-06-13 12:08:53, Zone=waist, Risk Level=1
2025-06-13 12:08:53, Zone=waist, Risk Level=1
2025-06-13 12:08:53, Zone=waist, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:54, Zone=chest, Risk Level=1
2025-06-13 12:08:55, Zone=chest, Risk Level=1
2025-06-13 12:08:55, Zone=chest, Risk Level=1
2025-06-13 12:08:55, Zone=chest, Risk Level=1
2025-06-13 12:08:55, Zone=chest, Risk Level=1
2025-06-13 12:08:55, Zone=chest, Risk Level=1
2025-06-13 12:08:55, Zone=chest, Risk Level=1
2025-06-13 12:08:55, Zone=chest, Risk Level=1
2025-06-13 12:08:55, Zone=chest, Risk Level=1
2025-06-13 12:08:55, Zone=chest, Risk Level=1
2025-06-13 12:08:55, Zone=chest, Risk Level=1
2025-06-13 12:08:55, Zone=chest, Risk Level=1
2025-06-13 12:08:55, Zone=chest, Risk Level=1
2025-06-13 12:08:56, Zone=waist, Risk Level=1
2025-06-13 12:08:56, Zone=waist, Risk Level=1
2025-06-13 12:08:56, Zone=waist, Risk Level=1
2025-06-13 12:08:56, Zone=waist, Risk Level=1
2025-06-13 12:08:56, Zone=waist, Risk Level=1
2025-06-13 12:08:56, Zone=waist, Risk Level=1
2025-06-13 12:08:56, Zone=waist, Risk Level=1
2025-06-13 12:08:56, Zone=waist, Risk Level=1
2025-06-13 12:08:56, Zone=waist, Risk Level=1
2025-06-13 12:08:56, Zone=waist, Risk Level=1
2025-06-13 12:08:56, Zone=waist, Risk Level=1
2025-06-13 12:08:56, Zone=waist, Risk Level=1
2025-06-13 12:08:56, Zone=waist, Risk Level=1
2025-06-13 12:08:57, Zone=waist, Risk Level=1
2025-06-13 12:08:57, Zone=waist, Risk Level=1
2025-06-13 12:08:57, Zone=waist, Risk Level=1
2025-06-13 12:08:57, Zone=chest, Risk Level=1
2025-06-13 12:08:57, Zone=chest, Risk Level=1
2025-06-13 12:08:57, Zone=chest, Risk Level=1
2025-06-13 12:08:57, Zone=chest, Risk Level=1
2025-06-13 12:08:58, Zone=chest, Risk Level=1
2025-06-13 12:08:58, Zone=chest, Risk Level=1
2025-06-13 12:08:58, Zone=chest, Risk Level=1
2025-06-13 12:08:58, Zone=chest, Risk Level=1
2025-06-13 12:11:24, Zone=waist, Risk Level=1
2025-06-13 12:11:24, Zone=waist, Risk Level=1
2025-06-13 12:11:24, Zone=waist, Risk Level=1
2025-06-13 12:11:24, Zone=waist, Risk Level=1
2025-06-13 12:11:24, Zone=waist, Risk Level=1
2025-06-13 12:11:24, Zone=waist, Risk Level=1
2025-06-13 12:11:25, Zone=waist, Risk Level=1
2025-06-13 12:11:25, Zone=waist, Risk Level=1
2025-06-13 12:11:25, Zone=waist, Risk Level=1
2025-06-13 12:11:25, Zone=waist, Risk Level=1
2025-06-13 12:11:25, Zone=waist, Risk Level=1
2025-06-13 12:11:25, Zone=waist, Risk Level=1
2025-06-13 12:11:25, Zone=waist, Risk Level=1
2025-06-13 12:11:25, Zone=waist, Risk Level=1
2025-06-13 12:11:25, Zone=waist, Risk Level=1
2025-06-13 12:11:25, Zone=waist, Risk Level=1
2025-06-13 12:11:25, Zone=waist, Risk Level=1
2025-06-13 12:11:26, Zone=chest, Risk Level=1
2025-06-13 12:11:26, Zone=chest, Risk Level=1
2025-06-13 12:11:26, Zone=chest, Risk Level=1
2025-06-13 12:11:26, Zone=chest, Risk Level=1
2025-06-13 12:11:26, Zone=chest, Risk Level=1
2025-06-13 12:11:26, Zone=chest, Risk Level=1
2025-06-13 12:11:26, Zone=chest, Risk Level=1
2025-06-13 12:11:26, Zone=chest, Risk Level=1
